_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
7633020,20114,BP-35192,217,Richmond St W,Richmond St W,South,Duncan St,West,,10.0,Toronto Entertainment District,Ring,Existing,0,313702.26399999997,4834375.679,-79.389644672,43.649270656000006,"{u'type': u'Point', u'coordinates': (-79.3896446734, 43.6492706577)}"
7633021,20115,BP-35219,216,Adelaide St W,Adelaide St W,North,Ln S Nelson W Simcoe,West,,10.0,Toronto Entertainment District,Ring,Existing,0,313851.649,4834284.88,-79.387794379,43.64845154100001,"{u'type': u'Point', u'coordinates': (-79.3877943739, 43.6484515417)}"
7633022,20116,BP-35220,263,Mc Caul St,Mc Caul St,East,Ln 1 S College W Mc Caul,North,,11.0,,Ring,Existing,0,313408.99,4835439.9969999995,-79.393263217,43.658854391000006,"{u'type': u'Point', u'coordinates': (-79.3932632193, 43.6588543974)}"
7633023,20117,BP-35232,47,Duncan St,Duncan St,East,Richmond St W,South,,10.0,Toronto Entertainment District,Ring,Existing,0,313755.5,4834383.166999999,-79.388984614,43.649337415,"{u'type': u'Point', u'coordinates': (-79.3889846199, 43.6493374208)}"
7633024,20118,BP-35234,29,Nelson St,Duncan St,East,Ln N Adelaide E Duncan,North,,10.0,Toronto Entertainment District,Ring,Existing,0,313776.57899999997,4834305.75,-79.38872459999999,43.648640311,"{u'type': u'Point', u'coordinates': (-79.3887246045, 43.6486403095)}"
7633025,20119,BP-35238,65,Duncan St,Richmond St W,North,Duncan St,East,,10.0,Toronto Entertainment District,Ring,Existing,0,313755.115,4834408.682,-79.38898897199999,43.649567093,"{u'type': u'Point', u'coordinates': (-79.3889889695, 43.6495670947)}"
7633026,20120,BP-35242,26,Duncan St,Duncan St,West,Nelson St,South,,10.0,Toronto Entertainment District,Ring,Existing,0,313758.661,4834312.408,-79.388946608,43.648700455,"{u'type': u'Point', u'coordinates': (-79.3889466087, 43.6487004564)}"
7633027,20121,BP-35243,215,Richmond St W,Richmond St W,South,Duncan St,East,,10.0,Toronto Entertainment District,Ring,Existing,0,313772.32300000003,4834397.649,-79.388775837,43.649467578,"{u'type': u'Point', u'coordinates': (-79.3887758362, 43.6494675755)}"
7633028,20123,BP-33147,171,Bay St,Bay St,East,Wellington St W,South,,13.0,Financial District,Ring,Existing,0,314533.547,4834094.823,-79.3793449,43.646732158999995,"{u'type': u'Point', u'coordinates': (-79.3793449041, 43.6467321636)}"
7633029,20124,BP-33149,35,Front St E,Front St E,South,Wellington St E,South,,13.0,St. Lawrence Market Neighbourhood,Ring,Existing,0,314885.103,4834209.54,-79.374984955,43.647760085,"{u'type': u'Point', u'coordinates': (-79.3749849549, 43.6477600883)}"
