id,street_address,latitude,longitude
BP-30109,802 Bloor St W,43.662758909,-79.422386957
BP-26414,610 Bloor St W,43.664744906,-79.413591494
BP-18486,770 Bay St,43.660283975,-79.385749011
BP-18484,770 Bay St,43.660217201,-79.385719553
BP-18485,770 Bay St,43.660230431,-79.385725605
BP-18487,770 Bay St,43.660301989,-79.385756493
BP-30310,747 College St,43.654956352,-79.419682599
BP-34424,55 Harbord St,43.663143307,-79.401403775
BP-31382,250 Dundas St W,43.654587686000006,-79.389952447
BP-34379,354 Huron St,43.663873439,-79.400249333
BP-24842,789 Dupont St,43.670609092,-79.42616973300001
BP-25781,1098 Bathurst St,43.672917592,-79.41436939399999
BP-26383,118 Christie St,43.665204079,-79.41914432
BP-31192,56D Kensington Ave,43.654216748,-79.400537104
BP-35065,773 Yonge St,43.671507246000004,-79.38719489
BP-31389,488 University Ave,43.65503991,-79.388951908
BP-32974,750 Spadina Ave,43.666431451,-79.403803179
BP-26814,98 Avenue Rd,43.672772083999995,-79.39592674
BP-26656,38 Walmer Rd,43.668398153000005,-79.406766231
BP-34344,140 St George St,43.665315797,-79.39925715300001
BP-27175,321 Davenport Rd,43.674598118999995,-79.40094258100001
BP-28866,191R Roxton Rd,43.653645336000004,-79.41990509600001
BP-25393,806 Dundas St W,43.651780124,-79.408883393
BP-29844,256D Augusta Ave,43.65634201899999,-79.40284329800001
BP-22615,674 Bay St,43.657306628,-79.384641138
BP-22050,222 Elm St,43.656102892,-79.392068716
BP-29486,350 Bloor St E,43.672063082,-79.378715414
BP-25110,444 Bloor St W,43.665676108,-79.40890973
BP-27705,562 College St,43.655614643999996,-79.412378293
BP-22621,61 College St,43.660541771999995,-79.386528806
BP-31248,672 Dupont St,43.671583713000004,-79.42216515
BP-22503,150 Gerrard St W,43.658026228000004,-79.387650111
BP-34420,120 St George St,43.66398931,-79.398739586
BP-35513,155 College St,43.659277698000004,-79.392745688
BP-35281,263 Mc Caul St,43.65866848,-79.393164908
BP-30308,308 Palmerston Ave,43.655838511999995,-79.410296795
BP-27106,163 St George St,43.670636331000004,-79.40099216
BP-34744,3 Borden St,43.657196478,-79.405207143
BP-26690,362 Bloor St W,43.666501488,-79.405585289
BP-27753,706 College St,43.655280534,-79.417515552
BP-21812,57 Grenville St,43.661355422,-79.386151327
BP-26669,24 Spadina Rd,43.668871402,-79.404833765
BP-30433,360 Montrose Ave,43.659548834,-79.419752723
BP-30407,538 Manning Ave,43.660558511000005,-79.41490990300001
BP-30288,825 Bloor St W,43.662605412,-79.42246862
BP-23517,610 University Ave,43.658202895,-79.390012023
BP-22106,3 Baldwin St,43.656188394,-79.392431806
BP-22321,84 Gerrard St W,43.65857080600001,-79.385680271
BP-44988,200 Bloor St W,43.668530538,-79.395334037
BP-44986,200 Bloor St W,43.66850522399999,-79.395452013
BP-24466,602 Bloor St W,43.664775639,-79.413152956
BP-28890,731 College St,43.654894611,-79.41901910600001
BP-31400,522 University Ave,43.656128102,-79.389552235
BP-23544,620 University Ave,43.658922397,-79.39031503
BP-27447,337 Spadina Ave,43.654875145,-79.398615253
BP-27411,293-299 Spadina Ave,43.65345827,-79.398051905
BP-29067,399 Bathurst St,43.652823976,-79.406117129
BP-27559,184-200 College St,43.658906302,-79.395262927
BP-34373,140 St George St,43.665179405,-79.399930861
BP-32277,900 Yonge St,43.673541055,-79.388216843
BP-29137,404 College St,43.656852097,-79.406274643
BP-27810,568A College St,43.655572047,-79.412737524
BP-23591,490 University Ave,43.655285628,-79.38878297
BP-28725,10 Surrey Pl,43.661119641999996,-79.387815574
BP-22624,88 Elm St,43.657207243,-79.385850667
BP-30121,869 Bloor St W,43.66213621,-79.424616772
BP-23599,522 University Ave,43.655780585,-79.38901147
BP-34315,140 St George St,43.665191856999996,-79.399871787
BP-28740,71 Grenville St,43.661305023000004,-79.387015127
BP-34803,718 Bathurst St,43.663195484,-79.410522413
BP-29772,78 Queen's Park,43.66621481399999,-79.39357694
BP-25229,1134 Yonge St,43.679721305,-79.390773345
BP-22520,201 Elizabeth St,43.659304881000004,-79.38679243600001
BP-33993,470 Huron St,43.6674388,-79.401756937
BP-33995,468 Huron St,43.66675134,-79.401434666
BP-34020,248 Dupont St,43.675105807,-79.406266308
BP-34030,215 Madison Ave,43.675065125,-79.405714867
BP-34031,232 Dupont St,43.67534458,-79.40519978399999
BP-34157,558 Bloor St W,43.665143593,-79.411456639
BP-34172,483 Bloor St W,43.665656653,-79.407409742
BP-34011,470 Huron St,43.667407233,-79.401743043
BP-22694,20 St George St,43.659304698999996,-79.396558225
BP-25921,725 Spadina Ave,43.666683726,-79.40327428399999
